danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,popularity,release_date_ordinal
0.733,0.812,-4.634,0.0421,0.0224,0.000962,0.167,0.409,122.985,39C3SOi6UMD9rHeXAQPNa9,154471,53,738568
0.733,0.855,-4.951,0.0528,0.388,1.15e-06,0.141,0.163,111.958,5cBz1eRdiLpTVcKBZkHnul,166092,44,738554
0.698,0.781,-5.615,0.0401,0.143,0.0,0.0762,0.851,124.017,2tX3PY8eP3h9XaBcLXuRBa,166573,71,738560
0.863,0.874,-4.798,0.0884,0.00712,0.0878,0.0455,0.811,125.02,6OHQzBYaXeF6FVu8gxLMkE,144025,46,738568
0.727,0.695,-6.19,0.0518,0.00839,0.0,0.11,0.811,127.995,164QjgWOxnSZYHQghRKeC0,193382,68,738561
0.701,0.88,-4.56,0.0358,0.182,7.33e-06,0.0649,0.623,124.039,4q05KbxYZ5JdkmrletgPjF,181958,66,738561
0.889,0.6,-10.603,0.144,0.0145,0.0,0.08,0.501,123.978,4wteGC0HtLeZWjDcczc4Pw,126774,64,738568
0.657,0.75,-4.59,0.0636,0.255,4.39e-06,0.0905,0.395,122.026,4GHxtNdSBBaWaivjS1Y05R,195775,45,738568
0.557,0.708,-4.249,0.0477,0.166,0.0,0.0498,0.759,121.869,5Fj3oUTbus2TH6wp2BQYGt,123934,42,738568
0.67,0.727,-5.477,0.0689,0.277,0.0,0.52,0.412,110.151,5FHPvs8RxWBQXP2Rq9I2B2,150013,75,738547
0.634,0.673,-4.066,0.0357,0.0229,9.39e-06,0.175,0.321,126.104,1NKpQ4bVY4rsTdUl7f4Cp7,178451,45,738561
0.759,0.658,-7.405,0.072,0.0953,3.51e-05,0.121,0.3,124.017,7r1tJrG00pgUbVioN1hbzf,206090,57,738559
0.636,0.888,-3.889,0.0945,0.00162,0.000216,0.147,0.25,122.032,4FWbsd91QSvgr1dSWwW51e,237200,80,738547
0.715,0.931,-3.548,0.0426,0.00573,0.00185,0.0549,0.615,119.971,7LbhIjYNfCguxjAw43Mkff,181648,73,738547
0.865,0.752,-6.565,0.053,0.0409,0.0,0.185,0.922,117.981,3qiC3jOnRNvOxD4m0erBRs,134746,60,738553
0.84,0.667,-7.126,0.0843,0.0439,1.34e-05,0.179,0.292,120.044,1p0jBDjxORjYNJyAphBRpE,145667,68,738540
0.727,0.897,-5.301,0.0598,0.129,0.394,0.229,0.414,124.974,5Ia7bTwJ1gTCFlztPvSHRC,157920,48,738547
0.626,0.842,-3.827,0.0357,0.014,0.0,0.235,0.55,145.03,1ItdTDx23yt7tIJOZv5iLQ,178010,68,738547
0.478,0.769,-5.092,0.0448,0.168,0.0,0.156,0.157,155.998,1SFA5zEVOsLhEg7ynbvQFT,224615,69,738540
0.721,0.919,-5.351,0.0878,0.0266,0.001,0.348,0.675,115.997,2oWpe2L8ypC080BxpDVuTY,194612,64,738470
0.571,0.797,-3.579,0.0513,0.193,1.02e-06,0.0752,0.392,109.889,2mPyJgKE7vSpUoFXJps8z3,162545,63,738540
0.514,0.825,-4.452,0.0748,0.111,0.0,0.333,0.411,119.985,4F17nB9GKTSPfocx9D7jHx,173069,60,738547
0.694,0.881,-4.491,0.0305,0.165,1.72e-05,0.481,0.631,124.91,5sds9CuXKUMqdq05BPFXyi,149760,44,738533
0.756,0.748,-7.254,0.11,0.606,1.12e-06,0.131,0.91,102.042,3BGfe8GXBE4cCVEvBG10yP,138094,63,738533
0.627,0.838,-5.717,0.146,0.0016,0.0,0.0967,0.434,122.964,7fdGGQpQQxwDhgurhKDWVL,168094,59,738540
0.603,0.933,-4.9,0.0735,0.00637,0.000333,0.126,0.36,129.037,1NZKXJskXhXJivaH6JcwWa,234419,57,738539
0.675,0.87,-2.878,0.0965,0.00281,1.65e-05,0.171,0.785,120.024,0PAPiFLJYjt55g8rO1uG9B,171188,62,738540
0.618,0.848,-4.329,0.0574,0.0028,0.000714,0.302,0.639,123.967,6PX5CRJFn24G3cypjNO6yw,150484,74,738533
0.679,0.548,-7.495,0.0298,0.234,0.0,0.189,0.413,115.954,3K00Ib1shkOEiAXU5pec6e,155909,77,738498
0.737,0.866,-4.749,0.0415,0.0431,0.000143,0.099,0.868,126.019,3FN3jsZTdt5sU6NRcIgUKK,195263,68,738526
0.636,0.852,-2.919,0.115,0.0569,0.0,0.035,0.442,112.831,5TAlj8WBSEWPdzudunvu0B,168982,50,738533
0.67,0.696,-7.892,0.283,0.187,0.00213,0.0659,0.0797,128.047,310TW3iypnMo8laEWughHb,189797,51,738526
0.673,0.824,-5.132,0.0413,0.0227,2.08e-05,0.099,0.47,126.022,1KULdGZrUxMQxcDBBIcD4g,194405,39,738505
0.534,0.696,-5.211,0.0694,0.316,0.0,0.248,0.251,168.149,4Wu62DoQg1ECGlDKDfo30R,160714,76,738497
0.708,0.909,-5.999,0.0476,0.0324,0.527,0.08,0.351,127.997,5IFSvSEeCAvvBEQ85poqKB,164043,68,738449
